filename,pose_bucket,pose_yaw,pose_pitch,pose_roll,quality_overall,quality_sharpness,quality_blur,quality_jpeg_noise,expression_mouth_open_intensity,expression_smile_intensity,mesh_path,geo_cranial_face_index,geo_jaw_width_ratio,geo_canthal_tilt_3d_L,geo_canthal_tilt_3d_R,geo_canthal_tilt_L,geo_canthal_tilt_R,geo_interorbital_ratio,geo_orbit_depth_L_ratio,geo_orbit_depth_R_ratio,geo_gonial_angle_L,geo_gonial_angle_R,geo_mandibular_ramus_length,geo_nose_width_ratio,geo_nose_projection_ratio,geo_nasal_frontal_index,geo_chin_projection_ratio,geo_orbit_centroid_ratio,geo_glabella_nasion_projection_angle,geo_forehead_slope_index,geo_nasofacial_angle_ratio,geo_orbital_perimeter_symmetry,geo_orbital_asymmetry_index,geo_gnathion_midline_deviation_ratio,tex_lbp_uniformity,tex_lbp_entropy,tex_glcm_contrast,tex_glcm_energy,tex_glcm_homogeneity,tex_glcm_correlation,tex_gabor_mean,tex_gabor_std,tex_laplacian_energy,tex_spot_density,tex_specular_gloss,tex_skin_tone_std,tex_pigmentation_index,tex_wrinkle_forehead,tex_nasolabial_depth,tex_crow_feet_score,tex_nose_pore_density,tex_uv_spot_density,tex_uv_wrinkle_energy,tex_uv_texture_entropy,tex_uv_silicone_flatness,tex_uv_retouch_score,tex_quality_sharpness_score,tex_quality_noise_score,tex_quality_quality_index,tex_notes
calibration_y36p-30r-13.jpg,left_threequarter_mid,-36.0955,31.3658,-9.91,0.9641,515.6654,515.6654,2.9901,0.1518,1.355,/Volumes/SDCARD/storage/calibration/calibration_y36p-30r-13,0.681,0.1398,21.14,,21.14,,0.685,0.0444,,56.1562,43.3097,0.6254,0.1847,0.2961,-0.3861,0.0595,0.5129,178.2499,1.9806,0.2017,0.7298,0.2702,0.4112,0.1111,2.2536,1.9452,0.6254,0.9012,0.986,9.1533,24.6817,0.0105,0.0495,0.0298,12.8614,5.9233,,,,,0.0433,35.9072,1.2331,0.4492,0.1091,427.6304,33.5602,0.6047,[]
calibration_y36p21r21.jpg,left_threequarter_mid,-39.8932,-13.0265,-9.4545,0.9861,185.802,185.802,1.158,0.1927,1.2861,/Volumes/SDCARD/storage/calibration/calibration_y36p21r21,0.6258,0.1515,1.5319,,1.5319,,0.6925,0.0497,,56.8298,43.0163,0.5482,0.177,0.3232,-0.3289,0.0673,0.5144,168.016,1.8668,0.2023,0.7699,0.2301,0.3634,0.1207,2.1987,2.4824,0.5963,0.9207,0.9861,8.0023,24.2574,0.0113,0.0896,0.0295,16.6449,4.8641,,,,,0.0874,17.4027,1.2912,0.6278,0.1417,571.941,43.1097,0.6645,[]
calibration_y37p-3r-3.jpg,left_threequarter_mid,-34.3319,0.4723,3.6324,0.9783,341.2123,341.2123,1.8076,0.0302,0.9854,/Volumes/SDCARD/storage/calibration/calibration_y37p-3r-3,0.6195,0.1641,13.3959,,13.3959,,0.7001,0.0573,,56.0027,43.1346,0.5747,0.1843,0.3431,-0.3423,0.0731,0.5184,168.6761,1.8742,0.2125,0.7728,0.2272,0.404,0.1158,2.224,2.5048,0.5902,0.896,0.9867,11.3,27.4864,0.0115,0.0812,0.0282,14.2444,3.7972,,,,,0.0805,22.7965,1.2552,0.5774,0.151,564.5685,36.9897,0.7338,[]
calibration_y37p0r2.jpg,left_threequarter_mid,-34.0411,0.0241,-0.7861,0.9806,240.3135,240.3135,1.6165,0.0436,1.2243,/Volumes/SDCARD/storage/calibration/calibration_y37p0r2,0.6203,0.1589,11.6604,,11.6604,,0.6961,0.0444,,56.2333,43.5395,0.571,0.1791,0.3295,-0.3415,0.0697,0.5139,170.8058,1.8978,0.2044,0.7634,0.2366,0.4104,0.1171,2.2189,2.5777,0.5856,0.8907,0.9863,11.2306,26.511,0.0117,0.0824,0.0286,14.6754,3.8136,,,,,0.0868,22.8152,1.2623,0.5772,0.1546,578.7742,37.9942,0.7369,[]
calibration_y39p-3r16.jpg,left_threequarter_mid,-33.6226,11.8645,-19.7511,0.9735,275.2664,275.2664,2.2044,0.1327,1.9907,/Volumes/SDCARD/storage/calibration/calibration_y39p-3r16,0.665,0.1541,5.5981,,5.5981,,0.6826,0.0381,,57.8986,43.8533,0.5815,0.1869,0.3309,-0.3744,0.0611,0.5188,174.307,1.9367,0.2201,0.7399,0.2601,0.3841,0.1156,2.2331,1.7607,0.6224,0.9219,0.9863,6.6687,24.0242,0.0083,0.042,0.0292,12.422,10.2672,,,,,0.0448,20.0239,1.1992,0.5476,0.1099,368.9776,32.0214,0.6033,[]
calibration_y39p1r-6.jpg,left_threequarter_mid,-35.6111,-2.0695,6.5613,0.9779,170.2011,170.2011,1.8405,0.0063,1.7286,/Volumes/SDCARD/storage/calibration/calibration_y39p1r-6,0.6304,0.1614,15.5876,,15.5876,,0.6855,0.0278,,57.9731,44.44,0.5618,0.1802,0.3166,-0.3531,0.063,0.5075,174.6522,1.9406,0.1996,0.7492,0.2508,0.4011,0.1099,2.2524,1.2913,0.5877,0.8907,0.9925,10.8139,24.2811,0.006,0.0878,0.0287,15.2205,4.7849,,,,,0.0741,41.6364,1.2849,0.526,0.1148,265.7512,39.3189,0.312,[]
calibration_y3p-3r2.jpg,frontal,-2.0378,5.9968,-1.8737,0.9682,482.373,482.373,2.6514,0.1667,1.2332,/Volumes/SDCARD/storage/calibration/calibration_y3p-3r2,0.6647,0.1635,9.6323,3.5863,9.6323,3.5863,0.6938,0.0367,0.0483,60.3189,43.5372,0.589,0.1863,0.2926,-0.3595,0.0582,0.4878,177.2684,1.9696,0.1945,0.8002,0.1998,0.4688,0.1077,2.2665,1.7275,0.5312,0.8748,0.9871,10.0663,24.0931,0.008,0.0718,0.0291,11.8905,5.6362,0.0041,0.0418,0.0068,505.5477,0.0726,37.099,1.2343,0.4623,0.1126,367.2099,30.1333,0.7287,[]
calibration_y3p-4r4.jpg,frontal,3.4043,-3.5953,3.5935,0.5981,66.9823,66.9823,1.2097,0.2313,1.5562,/Volumes/SDCARD/storage/calibration/calibration_y3p-4r4,0.659,,14.4211,7.5179,14.4211,7.5179,0.7132,0.0302,0.0353,,,,0.1831,0.2951,-0.3514,,0.501,178.6186,1.9847,0.1945,0.8072,0.1928,,0.1213,2.1907,0.9451,0.5731,0.9339,0.9927,4.5471,17.4769,0.0037,0.0816,0.0272,13.6486,3.8094,0.0028,0.0178,0.0011,555.5402,0.0763,14.7692,1.2383,0.7228,0.1216,194.7712,34.2089,0.2055,[]
calibration_y3p-8r0.jpg,frontal,-2.5425,6.4374,-0.5464,0.9602,720.9619,720.9619,3.3179,0.219,1.1579,/Volumes/SDCARD/storage/calibration/calibration_y3p-8r0,0.6385,0.1691,12.3107,6.8006,12.3107,6.8006,0.7117,0.0297,0.0433,60.0973,43.7814,0.5924,0.1929,0.3112,-0.3709,0.0557,0.4965,177.3552,1.9706,0.1987,0.7987,0.2013,0.4859,0.1064,2.2721,2.1698,0.5258,0.8439,0.9881,13.602,25.9977,0.0119,0.0252,0.0701,23.0412,7.3561,0.005,0.1083,0.0155,707.5839,0.0363,64.4293,1.3313,0.3779,0.1155,508.2309,59.3529,0.8791,[]
calibration_y3p1r8.jpg,frontal,3.0168,1.1653,7.7602,0.9816,170.895,170.895,1.5327,0.1931,1.7313,/Volumes/SDCARD/storage/calibration/calibration_y3p1r8,0.6735,0.148,12.8098,5.796,12.8098,5.796,0.7135,0.0238,0.0323,60.076,44.4098,0.5923,0.1753,0.292,-0.367,0.0516,0.5067,177.2499,1.9694,0.1967,0.8061,0.1939,0.4473,0.1109,2.2432,1.2245,0.576,0.9318,0.9905,5.6295,21.11,0.0048,0.0402,0.0291,11.5073,5.3056,0.0032,0.0184,0.0029,420.9257,0.0462,16.0787,1.1969,0.5879,0.1126,245.5978,28.9381,0.3275,[]
calibration_y3p3r3.jpg,frontal,3.3405,3.281,2.4346,0.6989,88.4469,88.4469,1.1557,0.228,1.2819,/Volumes/SDCARD/storage/calibration/calibration_y3p3r3,0.6519,,9.8291,5.839,9.8291,5.839,0.7216,0.0386,0.0449,,,,0.1859,0.3153,-0.3561,,0.5107,173.6606,1.9296,0.2056,0.7919,0.2081,,0.1179,2.2027,1.1546,0.5899,0.9506,0.9915,5.4637,21.2024,0.0046,0.0794,0.029,10.9815,2.9872,0.0043,0.014,0.0033,513.5521,0.0856,14.6885,1.1885,0.6435,0.1157,239.0331,27.754,0.3096,[]
calibration_y3p3r4.jpg,frontal,3.3157,3.0465,4.1477,0.9805,263.8276,263.8276,1.6235,0.2168,1.2564,/Volumes/SDCARD/storage/calibration/calibration_y3p3r4,0.658,0.1613,12.5987,5.9167,12.5987,5.9167,0.7154,0.0269,0.0306,59.737,43.7343,0.5856,0.1819,0.3001,-0.3623,0.0559,0.5031,177.8606,1.9762,0.1975,0.8047,0.1953,0.4656,0.1159,2.2218,2.3265,0.556,0.9071,0.9837,9.3483,24.3527,0.0104,0.0778,0.0276,11.2349,6.0735,0.0087,0.0337,0.0069,1171.4088,0.0878,15.2992,1.1971,0.6793,0.154,558.1792,28.1931,0.8856,[]
calibration_y40p-11r10.jpg,left_threequarter_mid,-32.3805,19.63,-20.9418,0.971,315.568,315.568,2.4201,0.1408,2.2821,/Volumes/SDCARD/storage/calibration/calibration_y40p-11r10,0.6778,0.1491,7.2532,,7.2532,,0.6854,0.0097,,58.3401,44.5814,0.5954,,0.3044,-0.3914,0.0463,0.518,176.353,1.9595,,0.7154,0.2846,0.3907,0.117,2.2274,1.7045,0.6314,0.9206,0.9861,7.1849,24.0757,0.0084,0.0455,0.0294,12.1108,10.2242,,,,,0.049,23.2525,1.2014,0.521,0.1095,360.3975,31.1207,0.5618,[]
calibration_y40p-9r0.jpg,right_threequarter_mid,39.9859,-8.8714,0.0272,0.9816,206.5231,206.5231,1.5352,0.68,1.2685,/Volumes/SDCARD/storage/calibration/calibration_y40p-9r0,0.6783,,,7.7577,,7.7577,0.6823,,0.0644,,,,0.1801,0.3287,-0.3577,,0.4887,170.6606,1.8962,0.223,0.8079,0.1921,,0.1097,2.2508,1.1695,0.5842,0.9322,0.9905,4.6176,20.3508,0.0047,0.0858,0.0291,9.3035,3.7391,,,,,0.0679,22.2624,1.1665,0.6275,0.1097,233.0801,23.2986,0.2236,[]
calibration_y40p6r11.jpg,right_threequarter_mid,39.8294,6.419,11.015,0.9698,610.673,610.673,2.5134,0.3723,1.8564,/Volumes/SDCARD/storage/calibration/calibration_y40p6r11,0.697,,,4.5161,,4.5161,0.682,,0.0418,,,,0.1896,0.3024,-0.3861,,0.5057,177.3351,1.9704,0.2108,0.7929,0.2071,,0.112,2.2437,2.0758,0.5758,0.8544,0.9863,14.9993,24.7931,0.0149,0.103,0.0288,18.432,3.6519,,,,,0.0883,104.4477,1.3134,0.2912,0.1107,495.3444,46.2218,0.6751,[]
calibration_y41p26r20.jpg,left_threequarter_deep,-45.3074,-17.9402,-3.1512,0.9826,370.6882,370.6882,1.4518,0.1612,1.4617,/Volumes/SDCARD/storage/calibration/calibration_y41p26r20,0.599,0.156,17.5498,,17.5498,,0.6402,0.0574,,55.93,42.9936,0.5336,0.178,0.3351,-0.3195,0.0691,0.523,167.8125,1.8646,0.2007,0.7656,0.2344,0.3722,0.1273,2.168,1.9185,0.5966,0.9192,0.9861,8.1298,22.1418,0.0085,0.066,0.0297,16.7022,6.5448,,,,,0.0631,19.5427,1.3,0.6282,0.1413,413.8234,42.7264,0.5846,[]
calibration_y42p-11r-7.jpg,right_threequarter_mid,41.5185,-10.9012,-6.806,0.9715,409.9413,409.9413,2.3752,0.4807,1.8037,/Volumes/SDCARD/storage/calibration/calibration_y42p-11r-7,0.683,,,11.4513,,11.4513,0.7189,,0.0715,,,,0.1701,0.3426,-0.3738,,0.517,167.9667,1.8663,0.234,0.8543,0.1457,,0.1099,2.253,2.5278,0.5377,0.8508,0.9876,15.3601,26.8113,0.0121,0.0755,0.0297,17.473,7.9046,,,,,0.0737,52.8575,1.3151,0.4597,0.1314,562.8781,45.3121,0.6533,[]
